Date,Title,Upvote,Upvote Ratio
2020-12-11 17:33:49,MSFT v GOOG,19,0.81
2020-12-11 09:40:37,Why does GOOGL underperform GOOG?,23,0.85
2020-09-03 12:58:26,$GOOG: Justice Dept. Plans to File Antitrust Charges Against Google in Coming Weeks,1658,0.98
2020-11-15 23:08:22,"Softbank exits stake in 24 companies, exits AMZN, GOOG, TSLA",44,0.79
2020-08-20 10:54:17,"Why is GOOG worth so much less than AAPL, AMZN, MSFT?",188,0.93
2020-10-07 16:29:41,"Anti trust probe against AMZN, APPL, GOOG, FB",12,0.69
2020-05-02 18:33:03,"How will GOOG, AMZN, MSFT, AAPL and FB ever lose value?",41,0.72
2020-01-02 08:54:32,"Why don't big tech companies with $1000+ stock prices (GOOG, AMZN) do sock splits so that their share prices are in the $100 range?",66,0.82
2020-05-01 10:15:34,"Googl is currently. trading lower than goog. Googl are alphabet shares with votes, goog is without.",3,0.67
2020-07-13 09:27:33,"$FB, $GOOG, $SNAP, $TWTR, $TTD - Jefferies says digital ad demand recovering faster than expected",3,0.64
2021-01-31 17:40:45,Markets Look Like They’re in a Bubble. What Do Investors Do Now?,49,0.73
2020-02-08 08:17:48,WTF happened with goog after hours yesterday,1,0.6
2020-12-19 17:16:56,Investing in SPACEX,14,0.67
2017-06-09 11:57:45,LotS of tech stocks down ~5% ($AAPL; $AMZN;$GOOG;$MSFT;$TSLA;NVDA). What is going on ?,433,0.93
2019-04-30 23:59:19,GOOG down. Buy the dips?,6,0.62
2018-05-11 08:59:45,Betting big on GOOGLE (GOOG),74,0.82
2017-11-01 17:17:24,"TIL that Sherwin-Williams (the paint company), which was founded in 1884, is up 560% since 2011. This is greater than NFLX, AAPL, GOOG, and nearly on par with AMZN.",532,0.96
2018-09-27 19:37:46,Is buying 1 share of an expensive stock (GOOG) odd or a bad idea for some reason?,21,0.75
2019-05-18 18:50:58,Any stocks I can invest in based around A.I. besides TSLA/GOOG?,4,0.64
2016-10-07 01:25:58,A $25bn Snapchat IPO? Look at FB / GOOG's IPO data for insight.,243,0.88
2019-02-11 21:04:40,I recently discovered that many Alphabet (GOOG) subsidiaries have their own private equity structures and outside investment. Does this decouple potential long term gains/losses between this umbrella company and its “other bets”?,20,0.84
2018-02-27 11:28:29,Why is GOOG worth more than GOOGL now?,39,0.85
2021-01-09 06:24:34,The future of the big 5 US tech companies,4,0.61
2017-07-24 13:13:22,Alphabet (GOOG) down after hours after reporting earnings,78,0.92
2020-11-11 15:30:31,"China is regulating their big tech now, does this mean US big tech can't hide behind competition as defense against anti-trust?",16,0.77
2018-11-24 17:51:21,"Time to pick up FB, AAPL and GOOG?",0,0.42
2013-10-17 15:11:08,GOOG up to all-time high after-hours: $960/share,134,0.94
2020-12-12 12:28:11,Categorizing the cloud market,21,0.8
2021-01-16 16:44:40,One critical mistake is made me Bulls over and over in their argument that the market (specifically Nasdaq) is not overvalued,3,0.59
2020-07-12 19:37:03,Why couldn't anyone predict that tech was going to the moon during March?,1240,0.91
2013-10-20 14:55:27,GOOG knocked it out of the park. Now what?,99,0.88
2021-01-12 23:34:47,Buying at the ATH/FOMO,1,0.56
2018-02-27 23:16:09,"Compared to the fears of regulation against FB or Goog, isn't it far more likely that NFLX will start facing fair usage charges from major internet providers?",2,0.75
2015-07-22 15:27:12,"GOOG and GOOGL have a price difference of about $33. As a retail investor if you wanted to invest in Google, is there any reason to buy GOOGL over GOOG?",85,0.88
2020-10-29 14:15:03,Alphabet up 8% after ER,92,0.9
2014-04-05 07:44:28,"So far, GOOG and GOOGL are correlating closely. Why does the market value them so similarly?",108,0.83
2018-02-08 15:34:18,Short AAPL; long GOOG?!?!,0,0.4
2015-04-23 14:23:41,"Tech earnings release thread (MSFT, GOOG, AMZN)",110,0.95
2017-11-08 20:01:30,AMZN/GOOG stock split anytime soon?,5,0.62
2013-05-15 07:09:00,What's causing the recent climb with GOOG?,50,0.84
2016-12-06 01:13:10,How to spot a dog (or god) in tech IPOs (Medium post) inc. $SNAP $GOOG $PF,17,0.73
2017-05-23 16:08:56,Engineer here: this is how you analyze GOOG as a quant,0,0.31
2018-02-07 15:57:18,"Besides driver-less cars (which won't be profitable for at least a few years from today), what does GOOG have going for it? Is it a good investment?",1,0.6
2013-12-23 11:45:10,Why is GOOG still climbing?,56,0.79
2014-01-28 15:50:10,court rules for VRNG to receive royalites of 6.5% on GOOG's advertising revenue. Stock halted up 13%,46,0.84
2019-01-04 15:16:55,How Much of GOOG and FB revenue is fake?,0,0.33
2018-04-02 10:05:22,Noob Question: What is the difference between GOOG and GOOGL?,3,0.8
2016-08-19 06:02:38,Which ETFs have the most exposure to AMZN and GOOG?,11,0.79
2014-04-07 06:29:29,ELI5: The new shares of Google Inc. (GOOG and GOOGL),82,0.84
