Date,Title,Upvote,Upvote Ratio
2021-02-05 04:52:13,Google Stock Analysis | Complete Fundamental DD | Is Google Stock a BUY right now? [GOOG],133,0.96
2021-02-25 15:15:57,Why is GOOGL cheaper than GOOG?,19,0.74
2021-02-08 04:48:03,Weekly Stock Market News | GOOG / AMZN / PINS / SQ / PYPL / COST & other Stock Market News [02-08],60,0.95
2021-02-14 17:44:42,GOOGL trading at a discount to GOOG,10,0.7
2021-02-11 06:14:14,Views on Alphabet (GOOG),0,0.5
2020-10-24 13:06:54,AAPL receives $10B a year from GOOG to make Google’s homepage the default page on Safari.,409,0.93
2020-10-18 03:16:25,"AMZN, MSFT and GOOG",42,0.78
2020-11-15 23:10:01,"Softbank exits stake in 24 companies, exits AMZN, GOOG, TSLA",30,0.9
2020-10-25 22:30:09,"FB, AAPL, AMZN, and GOOG report on Thursday.",24,0.9
2020-09-02 20:42:02,GOOG vs GOOGL prices,310,0.95
2020-10-07 08:23:09,GOOG lagging,22,0.82
2020-11-27 15:37:25,"How much of digital advertising is a bubble fueled by $GOOG, $FB, $AMZN?",3,0.68
2020-08-12 11:17:21,GOOG vs AAPL? Which do you prefer longterm?,25,0.93
2020-09-07 07:52:46,"Stock splits: with the huge surge in Apples and Teslas stock price after their announcement of the stock split. Which stocks do you think needs to split their stock next? (AMZN, CMG, GOOG, etc.)",0,0.4
2020-10-20 10:17:53,Where are the $GOOG antitrust posts,2,0.67
2020-09-03 12:49:47,Pulled in cash reserves - $goog or $amzn,3,0.72
2020-08-21 07:38:25,Why would GOOGL trade lower than GOOG?,3,0.71
2020-09-03 15:29:19,What would happen if $Goog was hit with antitrust?,2,0.75
2020-07-08 15:34:45,Worth spending $1500 for a share of GOOG?,4,0.7
2020-08-12 10:13:18,Hints At Android Automotive OS's Imminent Breakout (GOOG) / DD,6,0.8
2020-05-15 05:21:18,MSFT or GOOG,3,0.67
2020-05-29 00:05:38,GOOG vs Amazon,5,0.78
2020-08-06 10:32:02,When will my goog RSUs go up?,0,0.14
2020-04-10 11:18:59,Why is (GOOGL) Alphabet Inc. Class A cheaper than Class C (GOOG)?,18,0.88
2020-03-31 06:48:29,AMZN or GOOG?,4,0.75
2021-02-20 21:31:38,What are your long term plays for the rise of AI,63,0.92
2020-04-13 23:11:07,"Please rank AMZN, GOOG, MSFT and AAPL for investment.",0,0.5
2020-04-02 08:23:28,Why is $GOOG more expensive than $GOOGL?,5,1.0
2020-03-11 11:34:05,GOOG stock?,2,0.75
2018-09-04 08:00:35,"$FB has no debt, sitting on $40B in cash, and along with $GOOG, make up 3/5 of online advertising, yet continues to be downgraded by analysts. Why is that?",381,0.95
2021-02-08 13:14:40,"FuboTV DD (First time making DD, please give advice)",196,0.95
2020-04-28 11:16:58,Buy GOOG today before earnings call?,1,0.67
2021-02-01 09:19:39,Ford's partnership with Google ✅,213,0.98
2021-02-07 02:25:29,What are the most common mistakes you see newbies make?,53,0.92
2021-02-16 09:19:29,Question for the younger generation 15-20yo’s,27,0.84
2021-01-21 06:27:39,3 reasons NIO is a buy even at current price,183,0.84
2020-02-03 11:19:12,Thoughts before GOOG earnings report later today?,1,0.67
2018-12-31 04:06:54,Why drastic difference between GOOG and GOOGL some mornings pre market?,79,0.87
2020-05-06 13:33:20,"Thoughts on GOOG, AAPL, and LMT Calls. Any advice on how to deal with losses?",0,0.5
2021-02-22 17:37:59,Bull/Bear cases for these stocks?,14,0.81
2020-04-27 11:46:46,GOOG vs GOOGL?,1,0.67
2021-03-03 14:06:27,"Here is a Market Recap for today Wednesday, March 3, 2021.",33,0.96
2019-02-02 16:57:43,Alphabet earnings DD (long $GOOG),79,0.88
2021-02-13 11:39:40,($FB) Facebook Undervalued,15,0.68
2021-02-13 22:58:09,Should I be looking at ETF’s for long term? Any advice would be awesome. Thanks,10,0.74
2021-01-24 14:02:34,ROTH IRA - Selling GME and repurchasing in Roth? Smart or waste of time?,9,0.74
2020-02-28 01:38:03,GOOG v. GOOGL,1,0.67
2021-02-23 07:53:54,Is AAPL the biggest wuss?,0,0.32
2021-02-28 11:56:37,Can someone show a visual animation or video representation of what to the moon might look like?,0,0.44
2018-12-02 04:12:43,GOOG versus GOOGL. How do buybacks work?,103,0.93
2019-07-31 10:09:45,"With AAPL, MSFT, & GOOG all posting great results how long this ""bubble"" last?",2,0.6
2020-11-14 18:53:53,Looking for growth outside US tech,25,0.95
2021-01-01 22:39:51,Tesla,0,0.46
2018-03-04 13:12:51,AMZN or GOOG: Long term hold?,31,0.79
2021-02-10 11:19:03,A brief look and DD on QUBT,5,0.73
2020-12-22 17:08:20,Whats going on with GOOGL?,6,0.81
2019-08-26 13:20:22,"Kind of new, will recession or tariff-based losses effect US based stocks like KO and GOOG very much?",0,0.5
2021-02-12 19:29:52,TSLA autonomous and robo taxi bear case,5,0.59
2021-02-02 13:48:21,Alphabet beats expectations but GCP a loss leader,11,0.8
2020-12-17 13:34:07,Understanding The Market Requires You To Understand Market Psychology,212,0.97
