Date,Title,Upvote,Upvote Ratio
2021-02-02 18:38:54,Message from a TSLA veteran: Shut the fuck up and hold,60210,0.87
2021-03-06 05:26:43,TSLA might not be sub-600 for long,4092,0.96
2021-02-24 04:56:52,$TSLA Gang RISE UP,14090,0.91
2021-01-26 16:47:41,Curious why Papa Elon is shilling $GME? It’s because Melvin Capital shorted $TSLA for years and bragged about it.,25540,0.97
2021-02-04 12:59:18,$44K to $1.7M gains in $TSLA options,11399,0.97
2021-02-23 07:15:35,$70k dumped into 2/26 TSLA calls this morning,1766,0.97
2021-03-06 03:02:58,The TSLA bubble has finally popped,425,0.79
2021-03-04 10:49:45,SOLD TSLA for GME sorry Papa Musk🚀💎🙌,2710,0.95
2021-01-09 12:34:42,TSLA - Best $100K I’ve ever spent. When do I hop off the tendie coaster???,26059,0.91
2021-01-09 05:40:04,TSLA 1103% gain. Never selling,16731,0.92
2021-01-07 20:33:51,A true Autist. $TSLA,21558,0.93
2021-02-10 20:21:25,1M in Puts at 20.00 for TSLA???? Which one of you did this,2570,0.97
2021-02-12 06:09:51,"420.69% YEAR TO DATE GAINS TODAY. I OBEYED POPPA ELON. I OUTPERFORMED QUEEN CATHIE. MY DIAMOND HANDS IS HOT BOIS. I AM KING AUTIST. Home runs on TSLA->TCNNF->PENN->PTON->JMIA. Moving some gains to div yield & defensive positions: GBTC, T, SQ, GS, MO, RIOT, AXP, TSN #JosephWarrenBuffettDirt",3014,0.95
2020-12-05 08:39:40,"200,000% Return. 4 Pre-split TSLA options purchased summer 2019. Still holding...",41506,0.9
2021-02-12 23:00:16,$TSLA is positioned for a massive reversal,466,0.81
2020-12-17 15:54:27,When your friends and family call you crazy for going all in on $TSLA at the beginning of the year.,28729,0.91
2021-03-05 08:52:34,What's happening to TSLA right now?! Down 36% this month. Most shorted stock?,120,0.82
2021-01-11 08:12:42,Yolo'ed 80% of my life savings in a TSLA short position. I double dare you retards.. The bubble must pop.,2646,0.95
2021-03-04 10:14:01,Short $TSLA for years.. decided to long with weeklies... fuck man.,234,0.95
2021-01-12 10:51:32,TSLA vs NIO vs FSR vs LI vs NKLA vs XPEV: A WallStreetBets Movie,7520,0.97
